title,subhead,article_url,premium_or_not,byline,article_type,image_url
"Aux cinémas Dulac, un climat délétère",,https://www.lemonde.fr/culture/article/2025/06/13/aux-cinemas-dulac-un-climat-deletere_6612778_3246.html,Premium,  Par Clarisse Fabre ,"[' ', '  Culture ', ' ']",https://img.lemde.fr/2025/06/12/0/0/4500/3000/180/0/95/0/c207273_upload-1-yj2lsqh2wgth-000-36ww9nr.jpg
"Abdellatif Laâbi, poète et traducteur marocain : « Tout ce que j’ai appris sur la Palestine, je le dois à ses poètes »",,https://www.lemonde.fr/livres/article/2025/06/15/abdellatif-laabi-poete-et-traducteur-marocain-tout-ce-que-j-ai-appris-sur-la-palestine-je-le-dois-a-ses-poetes_6613376_3260.html,Premium,  Propos recueillis par Amaury da Cunha ,"[' ', '  Le Monde des livres ', ' ']",https://img.lemde.fr/2025/06/12/0/4/4248/2832/180/0/95/0/e420936_upload-1-7wee4mfybuhq-opale-photo-opale35201-01.jpg
"« Télétravail du sexe », sur Tënk : de l’autre côté de l’écran, la vie réelle des « camgirls »",,https://www.lemonde.fr/culture/article/2025/06/13/teletravail-du-sexe-sur-tenk-de-l-autre-cote-de-l-ecran-la-vie-reelle-des-camgirls_6612728_3246.html,Premium,  Par Sandrine Berthaud-Clair ,"[' ', '  Culture ', ' ']",https://img.lemde.fr/2025/06/05/0/81/1017/678/180/0/95/0/7b1e93c_sirius-fs-upload-1-ri1wlsesdh8v-1749140858573-ttds-2.jpg
"Au Centre Pompidou, la bibliothèque personnelle de Wolfgang Tillmans",,https://www.lemonde.fr/culture/article/2025/06/15/au-centre-pompidou-la-bibliotheque-personnelle-de-wolfgang-tillmans_6613354_3246.html,Premium,  Par Claire Guillot ,"[' ', '  Culture ', ' ']",https://img.lemde.fr/2025/06/13/1033/0/2481/1654/180/0/95/0/8ccfea7_upload-1-mqvpygy5ltvu-01-wolfgang-tillmans-ai-la-bpi-janvier-2025-a-centre-pompidou-please-note-the-images-should-not-be-cropped-in-any-way.jpg
"C’est l’histoire d’une rue : Buffon, du jardin botanique au repaire politique",,https://www.lemonde.fr/m-styles/article/2025/06/15/c-est-l-histoire-d-une-rue-buffon-du-jardin-botanique-au-repaire-politique_6613362_4497319.html,Premium,,"[' ', '  Le Goût du Monde ', ' ']",https://img.lemde.fr/2025/06/10/0/0/2535/1690/180/0/95/0/2f2ddb5_sirius-fs-upload-1-3kgr7ekhmgjm-1749564545826-ma-rue-aliochaboia-ruebuffon-78.jpg
Est-ce bien raisonnable de… porter ses lunettes de soleil sur le crâne ?,,https://www.lemonde.fr/m-styles/article/2025/06/15/est-ce-bien-raisonnable-de-porter-ses-lunettes-de-soleil-sur-le-crane_6613348_4497319.html,,,"[' ', '  Le Goût du Monde ', ' ']",https://img.lemde.fr/2025/06/09/0/0/1500/1000/180/0/95/0/ffb8a77_ftp-import-images-1-blvdwrtjy1zd-384985-3425113.jpg
"Que faire, que voir, où aller ? L’agenda culturel et art de vivre du 15 au 22 juin",,https://www.lemonde.fr/m-styles/article/2025/06/15/que-faire-que-voir-ou-aller-l-agenda-culturel-et-art-de-vivre-du-15-au-22-juin_6613280_4497319.html,,  Par Marie Anne Bruschi ,"[' ', '  Le Goût du Monde ', ' ']",https://img.lemde.fr/2025/06/10/0/0/1500/1000/180/0/95/0/7162211_sirius-fs-upload-1-mntb1ralgyct-1749563872440-nomades-lebarn-domaine-3.jpg
"A l’Armée du salut, l’incroyable pouvoir caritatif du donut",,https://www.lemonde.fr/m-perso/article/2025/06/15/a-l-armee-du-salut-l-incroyable-pouvoir-caritatif-du-donut_6613231_4497916.html,Premium,,"[' ', ""  L'époque "", ' ']",https://img.lemde.fr/2025/06/12/0/659/3951/2634/180/0/95/0/fdefce9_upload-1-mthk9kw0p30r-pano-gau-arthur-dd-014.jpg
         Live  Article se déroulant en direct   L’armée israélienne dit avoir intercepté la plupart des missiles iraniens tirés dimanche ; les dernières informations en direct  ,,https://www.lemonde.fr/international/live/2025/06/15/en-direct-israel-iran-l-armee-iranienne-a-bombarde-israel-dans-la-nuit-l-armee-israelienne-dit-avoir-attaque-plus-de-80-cibles-liees-au-programme-nucleaire-a-teheran_6612642_3210.html,Premium,,,
"Qu’est ce que le projet scientifique du « Coran européen », attaqué par l’extrême droite",,https://www.lemonde.fr/le-monde-des-religions/article/2025/06/15/coran-europeen-que-contient-vraiment-ce-projet-scientifique-attaque-par-l-extreme-droite_6613237_6038514.html,Premium,  Par Youness Bousenna ,"[' ', ' Le Monde des religions ', ' ']",
Emmanuel Macron au Groenland pour exprimer la « solidarité européenne » devant la volonté d’annexion de Donald Trump,,https://www.lemonde.fr/international/article/2025/06/15/emmanuel-macron-au-groenland-pour-exprimer-la-solidarite-europeenne-face-a-la-volonte-d-annexion-de-donald-trump_6613377_3210.html,,Le Monde avec AFP,"[' ', '  International ', ' ']",
Olivier Faure et Nicolas Mayer-Rossignol échouent à se mettre d’accord sur la relation que le PS doit avoir avec LFI,,https://www.lemonde.fr/politique/article/2025/06/15/au-congres-du-parti-socialiste-olivier-faure-et-nicolas-mayer-rossignol-echouent-a-se-mettre-d-accord-sur-la-relation-avec-lfi_6613364_823448.html,,Le Monde avec AFP,"[' ', '  Politique ', ' ']",
"Avec le député RN Maxime Amblard, le lobby du nucléaire a trouvé sa voix à l’Assemblée",,https://www.lemonde.fr/politique/article/2025/06/15/avec-maxime-amblard-le-lobby-du-nucleaire-a-trouve-sa-voix-a-l-assemblee_6613381_823448.html,Premium,  Par Clément Guillou ,"[' ', '  Politique ', ' ']",
"Abdellatif Laâbi, poète et traducteur marocain : « Tout ce que j’ai appris sur la Palestine, je le dois à ses poètes »",,https://www.lemonde.fr/livres/article/2025/06/15/abdellatif-laabi-poete-et-traducteur-marocain-tout-ce-que-j-ai-appris-sur-la-palestine-je-le-dois-a-ses-poetes_6613376_3260.html,Premium,  Propos recueillis par Amaury da Cunha ,"[' ', '  Le Monde des livres ', ' ']",
Enquête,,https://www.lemonde.fr/international/article/2025/06/15/le-f-35-americain-un-avion-de-chasse-symbole-de-dependance-europeenne_6613239_3210.html,Premium,,"[' ', '  International ', ' ']",
       Live  Article se déroulant en direct ,,https://www.lemonde.fr/international/live/2025/06/15/en-direct-guerre-en-ukraine-les-dernieres-informations_6613242_3210.html,Premium,,,
Nicolas Sarkozy se voit finalement retirer la Légion d’honneur en raison de sa condamnation à de la prison ferme dans l’affaire des écoutes,,https://www.lemonde.fr/societe/article/2025/06/15/nicolas-sarkozy-finalement-exclu-de-la-legion-d-honneur-a-la-suite-de-sa-condamnation-dans-l-affaire-des-ecoutes_6613121_3224.html,,Le Monde avec AFP,"[' ', '  Société ', ' ']",
"La difficile coexistence de la population avec les ours en Roumanie : « Des gens sont tués, des animaux sont tués »",,https://www.lemonde.fr/planete/article/2025/06/15/en-roumanie-la-difficile-coexistence-avec-les-ours-des-gens-sont-tues-des-animaux-sont-tues_6613233_3244.html,Premium,,"[' ', '  Planète ', ' ']",
Six départements de l’est de la France en vigilance orange aux orages,,https://www.lemonde.fr/planete/article/2025/06/15/orages-vigilance-orange-pour-six-departements-de-l-est-de-la-france_6613352_3245.html,,Le Monde,"[' ', '  Planète ', ' ']",
"Jérôme Guedj traite Jean-Luc Mélenchon de « salopard antisémite », le leader de La France insoumise demande des excuses au PS",,https://www.lemonde.fr/politique/article/2025/06/15/jerome-guedj-traite-jean-luc-melenchon-de-salopard-antisemite-manuel-bompard-exige-des-excuses-d-olivier-faure_6613356_823448.html,,Le Monde avec AFP,"[' ', '  Politique ', ' ']",
"Léa Marie, directrice du Slip français : « Je ne crois pas qu’on soit un bon parent quand on fait des enfants pour les garder pour soi »",,https://www.lemonde.fr/intimites/article/2025/06/15/lea-marie-directrice-du-slip-francais-les-difficultes-nous-construisent-et-pourtant-on-cherche-a-en-proteger-ses-enfants_6613234_6190330.html,Premium,  Propos recueillis par Guillemette Faure ,"[' ', '  Intimités ', ' ']",
"A voir ce soir : « Les Gardiens du droit », sur France Culture, une immersion instructive dans les arcanes de la justice",,https://www.lemonde.fr/culture/article/2025/06/15/les-gardiens-du-droit-sur-france-culture-une-immersion-instructive-dans-les-arcanes-de-la-justice_6613384_3246.html,Premium,  Par Emilie Grangeray ,"[' ', '  Culture ', ' ']",
Chronique,,https://www.lemonde.fr/sciences/article/2025/06/15/les-pinces-du-perce-oreille-arme-de-defense-et-critere-de-preference-sexuelle_6613368_1650684.html,Premium,,"[' ', '  Sciences ', ' ']",
La « sirène de bureau » est-elle le poisson-pilote du capitalisme ?,,https://www.lemonde.fr/m-perso/article/2025/06/15/la-sirene-de-bureau-est-elle-le-poisson-pilote-du-capitalisme_6613230_4497916.html,Premium,  Par Laure Coromines ,"[' ', ""  L'époque "", ' ']",
"Le Festival du film d’animation d’Annecy récompense « Arco », du Français Ugo Bienvenu",,https://www.lemonde.fr/culture/article/2025/06/15/le-festival-du-film-d-animation-d-annecy-recompense-arco-du-francais-ugo-bienvenu_6613372_3246.html,Premium,"  Par Pauline Croquet (Annecy, envoyée spéciale) ","[' ', '  Culture ', ' ']",
"Gennaro Gattuso, nouvel entraîneur d’une Italie mal en point",,https://www.lemonde.fr/sport/article/2025/06/15/football-gennaro-gattuso-nouveau-selectionneur-d-une-italie-mal-partie-pour-le-mondial-2026_6613373_3242.html,,Le Monde,"[' ', '  Sport ', ' ']",
Le gouvernement tente de rassurer sur l’avenir du Palais de la découverte,,https://www.lemonde.fr/sciences/article/2025/06/15/le-gouvernement-tente-de-rassurer-sur-l-avenir-du-palais-de-la-decouverte_6613374_1650684.html,Premium,  Par Roxana Azimi et Jean-Baptiste Jacquin ,"[' ', '  Sciences ', ' ']",
Entretien,,https://www.lemonde.fr/international/article/2025/06/14/philip-gordon-ancien-conseiller-de-kamala-harris-benyamin-netanyahou-a-mis-donald-trump-au-pied-du-mur-en-frappant-l-iran_6613039_3210.html,Premium,"  Propos recueillis par Piotr Smolar (Washington, correspondant) ","[' ', '  International ', ' ']",
Décryptage,,https://www.lemonde.fr/international/article/2025/06/15/la-superiorite-aerienne-du-f-35_6613238_3210.html,Premium,,"[' ', '  International ', ' ']",
Les faits,,https://www.lemonde.fr/campus/article/2025/06/15/d-ex-salaries-d-une-formation-superieure-privee-denoncent-le-business-des-etudiants-etrangers_6613314_4401467.html,Premium,  Par Soazig Le Nevé ,"[' ', ' M Campus ', ' ']",
"Faire des grandes familles, avec « plus de bébés », le nouveau ciment des droites aux Etats-Unis",,https://www.lemonde.fr/idees/article/2025/06/15/la-relance-des-naissances-nouveau-ciment-des-droites-aux-etats-unis_6613236_3232.html,Premium,,"[' ', '  Débats ', ' ']",
Editorial du « Monde » : le choix de la guerre et de ses risques,,https://www.lemonde.fr/idees/article/2025/06/14/israel-iran-le-choix-de-la-guerre-et-de-ses-risques_6613006_3232.html,,,"[' ', '  Débats ', ' ']",
"« L’extrême droite aux Etats-Unis est imprégnée d’un millénarisme apocalyptique, nourri par la crise environnementale »",,https://www.lemonde.fr/idees/article/2025/06/15/l-extreme-droite-americaine-est-impregnee-d-un-millenarisme-apocalyptique-nourri-par-la-crise-environnementale_6613225_3232.html,Premium,,"[' ', '  Débats ', ' ']",
"En direct, guerre en Ukraine : les dernières informations",,https://www.lemonde.fr/international/live/2025/06/15/en-direct-guerre-en-ukraine-les-dernieres-informations_6613242_3210.html,,,,
"En direct, guerre en Ukraine : les dernières informations",,https://www.lemonde.fr/international/live/2025/06/15/en-direct-guerre-en-ukraine-les-dernieres-informations_6613242_3210.html,,,,
Nicolas Sarkozy se voit finalement retirer la Légion d’honneur en raison de sa condamnation à de la prison ferme dans l’affaire des écoutes,,https://www.lemonde.fr/societe/article/2025/06/15/nicolas-sarkozy-finalement-exclu-de-la-legion-d-honneur-a-la-suite-de-sa-condamnation-dans-l-affaire-des-ecoutes_6613121_3224.html,,Le Monde avec AFP,"[' ', '  Société ', ' ']",
"Des millions de personnes ont participé aux manifestations « No Kings » contre Donald Trump : « On avait besoin de se compter. Aujourd’hui, ça fait du bien »",,https://www.lemonde.fr/international/article/2025/06/15/manifestations-no-kings-contre-donald-trump-aux-etats-unis-on-avait-besoin-de-se-compter_6613227_3210.html,,,"[' ', '  International ', ' ']",
"La supériorité aérienne du F-35, l’un des avions de combat les plus performants au monde, en infographies",,https://www.lemonde.fr/international/article/2025/06/15/la-superiorite-aerienne-du-f-35_6613238_3210.html,,,"[' ', '  International ', ' ']",
"Assassinat d’une élue démocrate dans le Minnesota : faux policier, faux pasteur, le profil hors norme du suspect",,https://www.lemonde.fr/international/article/2025/06/15/assassinat-d-une-elue-democrate-dans-le-minnesota-faux-policier-faux-pasteur-le-profil-hors-norme-du-suspect_6613228_3210.html,,"  Par Piotr Smolar (Washington, correspondant) ","[' ', '  International ', ' ']",
"Jérôme Guedj traite Jean-Luc Mélenchon de « salopard antisémite », le leader de La France insoumise demande des excuses au PS",,https://www.lemonde.fr/politique/article/2025/06/15/jerome-guedj-traite-jean-luc-melenchon-de-salopard-antisemite-manuel-bompard-exige-des-excuses-d-olivier-faure_6613356_823448.html,,Le Monde avec AFP,"[' ', '  Politique ', ' ']",
"Des manifestations dans toute l’Europe contre la « touristification » de certaines villes : « Je ne veux pas déménager, je veux avoir le droit d’habiter ici »",,https://www.lemonde.fr/economie/article/2025/06/15/de-lisbonne-a-barcelone-une-vague-de-protestations-contre-la-touristification-des-villes_6613232_3234.html,,  Par Jessica Gourdon ,"[' ', '  Économie ', ' ']",
« Coran européen » : que contient vraiment ce projet scientifique attaqué par l’extrême droite ?,,https://www.lemonde.fr/le-monde-des-religions/article/2025/06/15/coran-europeen-que-contient-vraiment-ce-projet-scientifique-attaque-par-l-extreme-droite_6613237_6038514.html,,  Par Youness Bousenna ,"[' ', ' Le Monde des religions ', ' ']",
"Au congrès du Parti socialiste, Olivier Faure et Nicolas Mayer-Rossignol échouent à se mettre d’accord sur la relation avec LFI",,https://www.lemonde.fr/politique/article/2025/06/15/au-congres-du-parti-socialiste-olivier-faure-et-nicolas-mayer-rossignol-echouent-a-se-mettre-d-accord-sur-la-relation-avec-lfi_6613364_823448.html,,Le Monde avec AFP,"[' ', '  Politique ', ' ']",
Deux mineurs condamnés à neuf et sept ans de prison pour le viol à caractère antisémite d’une jeune fille de 12 ans : « Elle n’aurait pas été violentée ni violée si elle n’avait pas été juive »,,https://www.lemonde.fr/societe/article/2025/06/14/elle-n-aurait-pas-ete-violentee-ni-violee-si-elle-n-avait-pas-ete-juive-deux-mineurs-condamnes-a-neuf-et-sept-ans-de-prison-pour-le-viol-a-caracere-antisemite-d-une-jeune-fille-de-12-ans-a-courbevoie_6612961_3224.html,,  Par Henri Seckel ,"[' ', '  Société ', ' ']",
Deux mineurs condamnés à neuf et sept ans de prison pour le viol à caractère antisémite d’une jeune fille de 12 ans : « Elle n’aurait pas été violentée ni violée si elle n’avait pas été juive »,,https://www.lemonde.fr/societe/article/2025/06/14/elle-n-aurait-pas-ete-violentee-ni-violee-si-elle-n-avait-pas-ete-juive-deux-mineurs-condamnes-a-neuf-et-sept-ans-de-prison-pour-le-viol-a-caracere-antisemite-d-une-jeune-fille-de-12-ans-a-courbevoie_6612961_3224.html,,  Par Henri Seckel ,"[' ', '  Société ', ' ']",
"Au Mali, les paramilitaires russes d’Africa Corps se déploient et subissent leur première défaite",,https://www.lemonde.fr/afrique/article/2025/06/13/au-mali-les-paramilitaires-russes-d-africa-corps-se-deploient-et-subissent-leur-premiere-defaite_6612773_3212.html,,  Par Benjamin Roger ,"[' ', ' Le Monde Afrique ', ' ']",
La découverte d’un caoutchouc inusable ou presque,,https://www.lemonde.fr/sciences/article/2025/06/13/la-decouverte-d-un-caoutchouc-inusable-ou-presque_6612726_1650684.html,,  Par Laure Belot et Audrey Lagadec (infographie) ,"[' ', '  Sciences ', ' ']",
"Assassinat d’une élue démocrate dans le Minnesota : faux policier, faux pasteur, le profil hors norme du suspect",,https://www.lemonde.fr/international/article/2025/06/15/assassinat-d-une-elue-democrate-dans-le-minnesota-faux-policier-faux-pasteur-le-profil-hors-norme-du-suspect_6613228_3210.html,,"  Par Piotr Smolar (Washington, correspondant) ","[' ', '  International ', ' ']",
Les Américains veulent réexaminer l’accord Aukus portant sur la livraison de sous-marins à l’Australie,,https://www.lemonde.fr/international/article/2025/06/13/les-americains-veulent-reexaminer-l-accord-aukus-portant-sur-la-livraison-de-sous-marins-a-l-australie_6612741_3210.html,,"  Par Isabelle Dellerba (Sydney, correspondance) et Cécile Ducourtieux (Londres, correspondante) ","[' ', '  International ', ' ']",
« Il y a un monde entre la J. K. Rowling démonétisée décrite dans les médias en raison de ses propos sur les femmes trans et son image réelle dans l’opinion »,,https://www.lemonde.fr/idees/article/2025/06/13/il-y-a-un-monde-entre-la-j-k-rowling-demonetisee-decrite-dans-les-medias-en-raison-de-ses-propos-sur-les-femmes-trans-et-son-image-reelle-dans-l-opinion_6612646_3232.html,,,"[' ', '  Débats ', ' ']",
