,title,article_url,premium_or_not,byline,article_type,image_url,subhed
40,Décryptage,https://www.lemonde.fr/sciences/article/2025/06/16/maladie-de-parkinson-la-recherche-pour-de-meilleurs-traitements-en-effervescence_6613579_1650684.html,Premium,,"[' ', '  Sciences ', ' ']",,"En attendant l’arrivée de thérapies qui ralentiraient la progression de cette pathologie neurodégénérative, la prise en charge des symptômes s’améliore. Un espoir pour les quelque 200 000 personnes actuellement traitées en France, alors que le nombre de cas augmente de façon inquiétante."
41,Les faits,https://www.lemonde.fr/international/article/2025/06/16/en-iran-israel-mise-sur-la-strategie-du-chaos_6613514_3210.html,Premium,  Par Ghazal Golshiri et Madjid Zerrouky ,"[' ', '  International ', ' ']",,"En plus des installations militaires et nucléaires de la république islamique, l’Etat hébreu s’attaque à des sites économiques, des postes de police et des ministères, dans l’espoir de désorganiser le pays."
42,"Au PS, le congrès de l’impuissance",https://www.lemonde.fr/idees/article/2025/06/17/au-ps-le-congres-de-l-impuissance_6613836_3232.html,,,"[' ', '  Débats ', ' ']",,
43,« Un accord lors du conclave sur les retraites remettrait dans le jeu les partenaires sociaux à un moment d’inconsistance politique »,https://www.lemonde.fr/idees/article/2025/06/17/un-accord-lors-du-conclave-sur-les-retraites-remettrait-dans-le-jeu-les-partenaires-sociaux-a-un-moment-d-inconsistance-politique_6613617_3232.html,Premium,,"[' ', '  Débats ', ' ']",,
44,"« Pour gagner son autonomie financière, l’Europe doit créer un grand marché de la dette »",https://www.lemonde.fr/idees/article/2025/06/17/pour-gagner-son-autonomie-financiere-l-europe-doit-creer-un-grand-marche-de-la-dette_6613661_3232.html,Premium,,"[' ', '  Débats ', ' ']",,
45,Israël-Iran : « Ce conflit constitue une menace grave pour les fondements mêmes de la civilisation humaine »,https://www.lemonde.fr/idees/article/2025/06/16/la-seule-voie-credible-pour-preserver-l-iran-et-son-peuple-est-la-demission-du-regime-l-appel-de-personnalites-de-la-societe-civile-iranienne-contre-une-guerre-devastatrice_6613529_3232.html,,,"[' ', '  Débats ', ' ']",,
46,Israël-Iran : « Ce conflit constitue une menace grave pour les fondements mêmes de la civilisation humaine »,https://www.lemonde.fr/idees/article/2025/06/16/la-seule-voie-credible-pour-preserver-l-iran-et-son-peuple-est-la-demission-du-regime-l-appel-de-personnalites-de-la-societe-civile-iranienne-contre-une-guerre-devastatrice_6613529_3232.html,,,"[' ', '  Débats ', ' ']",,
47,"Anne-Sophie Lapix rejoindra le Groupe M6 à la rentrée, après son éviction du « 20 heures » de France 2",https://www.lemonde.fr/economie/article/2025/06/16/anne-sophie-lapix-rejoindra-le-groupe-m6-a-la-rentree-apres-son-eviction-du-20-heures-de-france-2_6613534_3234.html,,Le Monde avec AFP,"[' ', '  Économie ', ' ']",,
48,Donald Trump quitte le G7 prématurément en assurant que cela n’a « rien à voir avec un cessez-le-feu » entre Israël et l’Iran,https://www.lemonde.fr/international/article/2025/06/17/donald-trump-quitte-prematurement-le-g7-invoquant-la-situation-au-moyen-orient_6613602_3210.html,,Le Monde avec AFP,"[' ', '  International ', ' ']",,
49,Donald Trump entretient l’ambiguïté sur les objectifs des Etats-Unis face à l’embrasement du Moyen-Orient,https://www.lemonde.fr/international/article/2025/06/17/guerre-israel-iran-les-ambiguites-entretenues-par-donald-trump-face-a-l-embrasement-du-moyen-orient_6613607_3210.html,,"  Par Piotr Smolar (Washington, correspondant) ","[' ', '  International ', ' ']",,
